
Failed, Object 'hoc_172.25.184.228_connectportal' already exists. Use operation: 'update' to change it.
Failed, Object 'hoc_172.25.191.113_wpclsql10e' already exists. Use operation: 'update' to change it.
Successful, Object 'hoc_172.25.191.139_wpsapepdev01' successfully added
Successful, Object 'hoc_172.25.191.140_wpsapepuat01' successfully added
Successful, Object 'hoc_172.25.191.152_wpclsql11e' successfully added
Failed, Object 'hoc_172.25.29.148_wpsql01' already exists. Use operation: 'update' to change it.
Successful, Object 'hoc_172.25.31.206_Uqsap3' successfully added
Failed, Object 'hoc_172.25.31.50_ironbark' already exists. Use operation: 'update' to change it.
Failed, Object 'hoc_172.25.31.55_spruce' already exists. Use operation: 'update' to change it.
Successful, Object 'hoc_172.25.41.73_wpdms02' successfully added
Successful, Object 'hoc_172.25.41.99_wpwins09vm' successfully added
Successful, Object 'hoc_172.25.42.96_wpsapeptst01' successfully added
Successful, Object 'hoc_172.25.43.35_uprsprt03' successfully added
Failed, Object 'hoc_172.25.52.36_tivtest10' already exists. Use operation: 'update' to change it.
Failed, Object 'hoc_172.25.52.39_torgate10-g0' already exists. Use operation: 'update' to change it.
Successful, Object 'hoc_172.25.61.114_uqsap1' successfully added
Successful, Object 'hoc_172.25.71.36_trm-fllweb-22' successfully added
Successful, Object 'hoc_172.25.71.56_wtsql14' successfully added
Successful, Object 'hoc_172.27.0.135_webmail.cmltd.net.au' successfully added
Successful, Object 'hoc_172.27.0.136_as3g.coles.com.au' successfully added
Successful, Object 'hoc_172.27.0.72_passwordreset' successfully added
Successful, Object 'hoc_172.27.1.137_AppCentre' successfully added
Successful, Object 'hoc_172.27.16.11_portal' successfully added
Successful, Object 'hoc_172.27.16.35_login-iam-prd' successfully added
Successful, Object 'hoc_172.27.17.11_tmpportalsvt' successfully added
Successful, Object 'hoc_172.27.17.23_login-iam-test' successfully added
Successful, Object 'hoc_172.27.17.33_login-iam' successfully added
Successful, Object 'hoc_172.27.17.39_login-iam-dev' successfully added
Successful, Object 'hoc_172.27.17.91_portaltest' successfully added
Successful, Object 'hoc_172.27.255.84_idmutils' successfully added
Successful, Object 'hoc_172.27.3.207_connectuat' successfully added
Successful, Object 'hoc_172.27.34.7_prods-eailog' successfully added
Successful, Object 'hoc_172.28.139.227_portaldev' successfully added
Successful, Object 'hoc_192.168.173.111_lpextdns1n2' successfully added
Successful, Object 'hoc_192.168.173.112_lpextdns2n2' successfully added
Successful, Object 'hoc_192.168.180.50_ntp1' successfully added
Successful, Object 'hoc_192.168.180.51_ntp2' successfully added
Successful, Object 'hoc_192.168.241.87_Ingenico_Kidman' successfully added
Successful, Object 'hoc_192.168.98.23_saprp100' successfully added
Successful, Object 'hoc_192.168.99.26_saprq300' successfully added
Failed, Object 'hoc_172.25.12.21_wpad01' already exists. Use operation: 'update' to change it.
Failed, Object 'hoc_172.25.181.37_utmq1s' already exists. Use operation: 'update' to change it.
Failed, Object 'hoc_172.25.181.39_utmq2s' already exists. Use operation: 'update' to change it.
Successful, Object 'hoc_172.25.184.161_CitrixAppcentre' successfully added
Successful, Object 'hoc_172.25.184.226_portal_cmlconnect_org' successfully added
Successful, Object 'hoc_172.25.184.228_portal_cmlconnect_org_test' successfully added
Failed, Object 'hoc_172.25.29.153_wpsql06' already exists. Use operation: 'update' to change it.
Successful, Object 'noc_172.22.0.0-16_Tallyho_serverfarm' successfully added
Successful, Object 'noc_172.25.0.0-16_Tooronga_serverfarm' successfully added
